assignment_count,avg_score,avg_submission_delay,late_submission_count,cluster
-106.14487118861517,-16.878215430806293,90.19364065688353,-580.3519654405401,0
-5.288947631857382,97.67321188259177,-112.92965759613843,-411.5449217289536,1
-106.14487118861517,74.94475408231439,97.83806585995423,-580.3519654405401,0
-156.57283296699404,77.21759986234213,167.59344583797457,-73.9308343057808,0
95.5669759249004,40.5995289618952,124.59355407070176,94.8762094058056,2
196.4228994816582,129.07980811570235,117.64407661336475,263.68325311739204,2
45.139014146521504,-13.696231338767447,-279.1276519664706,-580.3519654405401,1
-5.288947631857382,48.969373739140245,139.60938929101926,263.68325311739204,2
95.5669759249004,106.25951816269655,-263.9980604187264,-580.3519654405401,1
-106.14487118861517,-83.24531220761625,185.7489556952675,94.8762094058056,0
196.4228994816582,53.86927503114805,132.4117162102059,432.49029682897844,2
-156.57283296699404,85.1725600924392,105.48249106302497,-580.3519654405401,0
-307.85671830213073,56.761987842092466,143.70461707837856,-411.5449217289536,0
-257.4287565237518,-25.06046023890614,115.03802256686336,-580.3519654405401,0
-257.4287565237518,95.40036610256404,143.70461707837856,-242.73787801736725,0
95.5669759249004,102.21890344264726,-299.0350092661339,-580.3519654405401,1
-106.14487118861517,94.0366586345474,103.57138476225728,-580.3519654405401,0
246.85086126003705,107.9010178927166,-466.2568105833059,-580.3519654405401,1
-307.85671830213073,102.21890344264726,105.48249106302497,-580.3519654405401,0
-106.14487118861517,-28.697013486950514,78.72700285227745,-580.3519654405401,0
-207.00079474537296,40.09445212188902,296.59312113979297,-242.73787801736725,0
95.5669759249004,126.46259176294309,123.53182834805304,94.8762094058056,2
246.85086126003705,-50.4405714492159,-94.38737622559488,-411.5449217289536,0
45.139014146521504,-48.357129484190466,160.42679721009577,94.8762094058056,0
246.85086126003705,75.32356171231898,64.87148217171178,-242.73787801736725,2
196.4228994816582,48.08384940925929,123.72486938853461,263.68325311739204,2
-207.00079474537296,-25.06046023890614,95.92695955918657,-580.3519654405401,0
246.85086126003705,16.60837906160243,-90.40590476566221,263.68325311739204,2
-156.57283296699404,44.2613360519399,117.42690544282296,-242.73787801736725,0
-5.288947631857382,-62.72476173650866,121.86340221246222,-411.5449217289536,0
-106.14487118861517,54.94371121807025,124.59355407070176,-411.5449217289536,0
-106.14487118861517,4.031965745448947,115.03802256686336,-242.73787801736725,0
-257.4287565237518,-115.97429144001572,134.14908557454015,-242.73787801736725,0
-106.14487118861517,-36.87925829505039,139.8824044768432,94.8762094058056,0
-257.4287565237518,20.39645536164864,115.03802256686336,-580.3519654405401,0
246.85086126003705,26.45737744172259,-76.0726075099046,-242.73787801736725,2
